Florida,Polk,26,0,724777
Indiana,Decatur,26,0,26559
Louisiana,Ouachita,25,1,153279
Massachusetts,Franklin,24,2,70180
New York,Tompkins,26,0,102180
South Carolina,Lexington,25,1,298750
California,Monterey,24,1,434061
Colorado,Pitkin,25,0,17767
Louisiana,St. Charles,23,2,53100
Mississippi,Madison,25,0,106272
North Dakota,Burleigh,25,0,95626
South Carolina,Horry,24,1,354081
Texas,El Paso,25,0,839238
Florida,Pasco,23,1,553947
Georgia,Hall,24,0,204441
Louisiana,Terrebonne,23,1,110461
Mississippi,Jackson,24,0,143617
North Carolina,Orange,24,0,148476
Ohio,Stark,22,2,370606
West Virginia,Monongalia,24,0,105612
Alabama,Mobile,23,0,413210
Alabama,Walker,23,0,63521
Arkansas,Benton,23,0,279141
Arkansas,Jefferson,23,0,66824
Idaho,Canyon,22,1,229849
Indiana,Franklin,22,1,22758
Louisiana,Calcasieu,22,1,203436
New Hampshire,Grafton,23,0,89886
New York,Niagara,23,0,209281
Ohio,Butler,23,0,383134
Pennsylvania,Pike,23,0,55809
Washington,Benton,19,4,204390
Wisconsin,Kenosha,23,0,169561
Florida,Escambia,22,0,318316
Florida,Okaloosa,22,0,210738
Indiana,Allen,21,1,379299
Iowa,Linn,22,0,226706
Minnesota,Washington,22,0,262440
North Carolina,Cabarrus,21,1,216453
Ohio,Delaware,22,0,209177
Tennessee,Robertson,22,0,71813
Alabama,Tuscaloosa,21,0,209355
Delaware,Kent,21,0,180786
Georgia,Coweta,19,2,148509
Georgia,Fayette,19,2,114421
Georgia,Floyd,20,1,98498
Louisiana,Iberville,20,1,32511
Michigan,Ottawa,21,0,291830
Texas,Bell,20,1,362924
Texas,Smith,21,0,232751
Arkansas,Garland,20,0,99386
California,Tulare,20,0,466195
Georgia,Forsyth,19,1,244252
Kansas,Sedgwick,20,0,516042
Massachusetts,Hampshire,20,0,160830
Montana,Yellowstone,20,0,161300
New York,Broome,18,2,190488
New York,Columbia,20,0,59461
South Carolina,Anderson,20,0,202558
Tennessee,Wilson,20,0,144657
Ohio,Montgomery,19,0,531687
Texas,Lubbock,19,0,310569
Vermont,Windsor,18,1,55062
Virgin Islands,,19,0,
Wisconsin,Fond du Lac,18,1,103403
Alabama,Montgomery,18,0,226486
Kansas,Douglas,18,0,122259
Louisiana,Plaquemines,16,2,23197
Maryland,Harford,18,0,255441
Michigan,Berrien,18,0,153401
Minnesota,Martin,18,0,19683
Mississippi,Coahoma,18,0,22124
Mississippi,Pearl River,18,0,55535
Ohio,Trumbull,17,1,197974
Oregon,Deschutes,18,0,197692
Pennsylvania,Dauphin,18,0,278299
South Carolina,York,18,0,280979
South Dakota,Minnehaha,18,0,193134
Virginia,Alexandria city,18,0,159428
Arkansas,Clark,17,0,22320
California,Imperial,17,0,181215
California,Stanislaus,17,0,550660
Georgia,Lowndes,16,1,117406
Georgia,Rockdale,16,1,90896
Illinois,Kankakee,17,0,109862
Maryland,Charles,17,0,163257
Michigan,Jackson,17,0,158510
New Mexico,San Juan,17,0,123958
New York,Madison,17,0,70941
North Carolina,Forsyth,17,0,382295
Oklahoma,Kay,17,0,43538
Virginia,Richmond city,17,0,230436
Wyoming,Fremont,17,0,39261
Wyoming,Laramie,17,0,99500
Arkansas,Van Buren,16,0,16545
Colorado,Garfield,16,0,60061
Florida,Brevard,16,0,601942
Florida,Martin,16,0,161000
Florida,Monroe,16,0,74228
Illinois,St. Clair,15,1,259686
Mississippi,Forrest,16,0,74897
Mississippi,Tippah,15,1,22015
New Mexico,Doña Ana,16,0,218195
Pennsylvania,Cumberland,16,0,253370
South Carolina,Spartanburg,16,0,319785
South Dakota,Beadle,16,0,18453
Alaska,Fairbanks North Star Borough,15,0,96849
Connecticut,New London,15,0,265206
Florida,St. Lucie,14,1,328297
Georgia,Newton,15,0,111744
Indiana,Hancock,14,1,78168
Kentucky,Daviess,15,0,101511
Kentucky,Kenton,15,0,166998
Maryland,Frederick,15,0,259547
Michigan,St. Clair,15,0,159128
Mississippi,Lee,15,0,85436
Missouri,Jefferson,15,0,225081
New Mexico,Sandoval,15,0,146748
North Carolina,Buncombe,15,0,261191
North Carolina,Iredell,15,0,181806
Oklahoma,Creek,14,1,71522
Oklahoma,Pawnee,14,1,16376
West Virginia,Kanawha,15,0,178124
Alabama,Limestone,14,0,98915
California,Yolo,13,1,220500
Florida,Indian River,14,0,159923
Georgia,Mitchell,14,0,21863
Hawaii,Maui,14,0,167417
Louisiana,De Soto,13,1,27463
Michigan,Saginaw,14,0,190539
New Jersey,Atlantic,14,0,263670
New York,Ontario,14,0,109777
Pennsylvania,Beaver,14,0,163929
Pennsylvania,Washington,14,0,206865
South Carolina,Florence,11,3,138293
Texas,Nueces,14,0,362294
Wisconsin,La Crosse,14,0,118016
Alabama,Chambers,13,0,33254
Arkansas,Washington,13,0,239187
Colorado,Broomfield,13,0,70465
Colorado,La Plata,13,0,56221
Florida,Leon,13,0,293582
Florida,Walton,13,0,74071
Georgia,Gordon,12,1,57963
Indiana,Ripley,13,0,28324
Louisiana,St. Martin,10,3,53431
Mississippi,Leflore,13,0,28183
New York,Oneida,13,0,228671
North Carolina,New Hanover,13,0,234473
Ohio,Portage,13,0,162466
Pennsylvania,Schuylkill,13,0,141359
Tennessee,Putnam,13,0,80245
Texas,Cameron,13,0,423163
Vermont,Addison,13,0,36777
Vermont,Bennington,13,0,35470
Virginia,Newport News city,12,1,179225
Alabama,Elmore,12,0,81209
California,Humboldt,12,0,135558
Colorado,Routt,12,0,25638
Florida,Citrus,11,1,149657
Florida,Putnam,12,0,74521
Florida,Santa Rosa,11,1,184313
Georgia,Paulding,12,0,168667
Georgia,Troup,11,1,69922
Indiana,Clark,12,0,118302
Kansas,Leavenworth,12,0,81758
Louisiana,West Baton Rouge,11,1,26465
Mississippi,Oktibbeha,12,0,49587
Mississippi,Pike,12,0,39288
New York,Steuben,12,0,95379
North Carolina,Harnett,11,1,135976
North Dakota,Cass,11,1,181923
Pennsylvania,Lebanon,12,0,141793
South Carolina,Orangeburg,12,0,86175
South Carolina,Sumter,10,2,106721
Utah,Weber,12,0,260213
Virginia,Chesterfield,12,0,352802
Washington,Chelan,11,1,77200
Wisconsin,Rock,12,0,163354
Alaska,Ketchikan Gateway Borough,11,0,13901
